id,model_id,split
50020_punching,00000,train
50020_punching,00001,train
50020_punching,00002,train
50020_punching,00003,train
50020_punching,00004,train
50020_punching,00005,train
50020_punching,00006,train
50020_punching,00007,train
50020_punching,00008,train
50020_punching,00009,train
50020_punching,00010,train
50020_punching,00011,train
50020_punching,00012,train
50020_punching,00013,train
50020_punching,00014,train
50020_punching,00015,train
50020_punching,00016,train
50020_punching,00017,train
50020_punching,00019,train
50020_punching,00020,train
50020_punching,00021,train
50020_punching,00022,train
50020_punching,00023,train
50020_punching,00024,train
50020_punching,00025,train
50020_punching,00026,train
50020_punching,00027,train
50020_punching,00028,train
50020_punching,00029,train
50020_punching,00030,train
50020_punching,00031,train
50020_punching,00032,train
50020_punching,00033,train
50020_punching,00034,train
50020_punching,00035,train
50020_punching,00036,train
50020_punching,00037,train
50020_punching,00039,train
50020_punching,00040,train
50020_punching,00041,train
50020_punching,00042,train
50020_punching,00043,train
50020_punching,00044,train
50020_punching,00045,train
50020_punching,00046,train
50020_punching,00047,train
50020_punching,00048,train
50020_punching,00049,train
50020_punching,00050,train
50020_punching,00051,train
50020_punching,00052,train
50020_punching,00053,train
50020_punching,00054,train
50020_punching,00055,train
50020_punching,00056,train
50020_punching,00057,train
50020_punching,00059,train
50020_punching,00060,train
50020_punching,00061,train
50020_punching,00062,train
50020_punching,00063,train
50020_punching,00064,train
50020_punching,00065,train
50020_punching,00066,train
50020_punching,00067,train
50020_punching,00068,train
50020_punching,00069,train
50020_punching,00070,train
50020_punching,00071,train
50020_punching,00072,train
50020_punching,00073,train
50020_punching,00074,train
50020_punching,00075,train
50020_punching,00076,train
50020_punching,00077,train
50020_punching,00079,train
50020_punching,00080,train
50020_punching,00081,train
50020_punching,00082,train
50020_punching,00083,train
50020_punching,00084,train
50020_punching,00085,train
50020_punching,00086,train
50020_punching,00087,train
50020_punching,00088,train
50020_punching,00089,train
50020_punching,00090,train
50020_punching,00091,train
50020_punching,00092,train
50020_punching,00093,train
50020_punching,00094,train
50020_punching,00095,train
50020_punching,00096,train
50020_punching,00097,train
50020_punching,00018,train
50020_punching,00038,train
50020_punching,00058,train
50020_punching,00078,train
50020_punching,00098,train
50020_punching,00118,train
50020_punching,00138,train
50020_punching,00158,train
50020_punching,00178,train
50020_punching,00198,train
50020_punching,00218,train
50020_punching,00099,train
50020_punching,00100,train
50020_punching,00101,train
50020_punching,00102,train
50020_punching,00103,train
50020_punching,00104,train
50020_punching,00105,train
50020_punching,00106,train
50020_punching,00107,train
50020_punching,00108,train
50020_punching,00109,train
50020_punching,00110,train
50020_punching,00111,train
50020_punching,00112,train
50020_punching,00113,train
50020_punching,00114,train
50020_punching,00115,train
50020_punching,00116,train
50020_punching,00117,train
50020_punching,00119,train
50020_punching,00120,train
50020_punching,00121,train
50020_punching,00122,train
50020_punching,00123,train
50020_punching,00124,train
50020_punching,00125,train
50020_punching,00126,train
50020_punching,00127,train
50020_punching,00128,train
50020_punching,00129,train
50020_punching,00130,train
50020_punching,00131,train
50020_punching,00132,train
50020_punching,00133,train
50020_punching,00134,train
50020_punching,00135,train
50020_punching,00136,train
50020_punching,00137,train
50020_punching,00139,train
50020_punching,00140,train
50020_punching,00141,train
50020_punching,00142,train
50020_punching,00143,train
50020_punching,00144,train
50020_punching,00145,train
50020_punching,00146,train
50020_punching,00147,train
50020_punching,00148,train
50020_punching,00149,train
50020_punching,00150,train
50020_punching,00151,train
50020_punching,00152,train
50020_punching,00153,train
50020_punching,00154,train
50020_punching,00155,train
50020_punching,00156,train
50020_punching,00157,train
50020_punching,00159,train
50020_punching,00160,train
50020_punching,00161,train
50020_punching,00162,train
50020_punching,00163,train
50020_punching,00164,train
50020_punching,00165,train
50020_punching,00166,train
50020_punching,00167,train
50020_punching,00168,train
50020_punching,00169,train
50020_punching,00170,train
50020_punching,00171,train
50020_punching,00172,train
